,QRef,Mean,Min,Max,Count,Avg
4164,308SCIQ5,0.6071428571428571,0,1,140,0.6071428571428571
4165,308SCIQ6,0.42142857142857143,0,1,140,0.42142857142857143
4166,308SCIQ7,0.6,0,1,140,0.6
4167,308SCIQ8,0.6642857142857143,0,1,140,0.6642857142857143
4168,308SCIQ9,0.3357142857142857,0,1,140,0.3357142857142857
4169,308SPOQ1,0.5290322580645161,0,1,155,0.5290322580645161
4170,308SPOQ10,0.4634146341463415,0,1,123,0.4634146341463415
4171,308SPOQ2,0.3669064748201439,0,1,139,0.3669064748201439
4172,308SPOQ3,0.460431654676259,0,1,139,0.460431654676259
4173,308SPOQ4,0.48201438848920863,0,1,139,0.48201438848920863
4174,308SPOQ5,0.3237410071942446,0,1,139,0.3237410071942446
4175,308SPOQ6,0.2589928057553957,0,1,139,0.2589928057553957
4176,308SPOQ7,0.6618705035971223,0,1,139,0.6618705035971223
4177,308SPOQ8,0.5179856115107914,0,1,139,0.5179856115107914
4178,308SPOQ9,0.8057553956834532,0,1,139,0.8057553956834532
4179,309FILQ1,0.8623853211009175,0,1,436,0.8623853211009175
4180,309FILQ10,0.6357615894039735,0,1,302,0.6357615894039735
4181,309FILQ2,0.8048780487804879,0,1,369,0.8048780487804879
4182,309FILQ3,1.0406504065040652,0,2,369,0.5203252032520326
4183,309FILQ4,0.4959349593495935,0,1,369,0.4959349593495935
